Fecha,Tasa_efectiva_promedio_ponderada,Montos_desembolsados,Numero_de_creditos_desembolsados,Plazo
45247,15.12,83953304,1,4
45212,8.8,36489064,1,5
45177,15.02,587105406,15,3
45128,14.29,750192615,14,3
45135,13.81,554983119,6,4
45254,18.5,93836045,1,4
45219,18.05,57800808,1,1
45233,9.44,227468299,3,5
45219,17.05,43963035,1,4
45240,14,75266059,1,5
45247,13.87,243565279,6,4
45226,16.49,46959562,1,5
45212,18.09,284256599,1,3
45240,17.19,228000008,1,4
45219,9,138429059,3,5
45212,14,56782727,1,5
45170,17.19,11100336563,43,4
45205,5,61084743,1,5
45198,19,123662865,1,4
45016,18.79,1814678724,23,3
45100,17.64,118586531,7,1
45198,14,726586423,12,4
45254,18.63,115551915,2,5
45177,22.86,1295998011,6,4
45205,17.94,79362544,2,4
44995,19.11,429406521,9,4
45072,17.76,10915578464,52,4
45261,17.88,26858739,1,4
45170,17.12,2157952365,7,3
45212,14,94615525,2,3
45254,18.05,9000000,1,1
45219,18.58,96871414,1,5
45261,16.15,90224892,1,4
45044,14.87,10691527402,124,4
45254,17.32,29638137,1,5
45163,19.09,459643531,3,4
45261,14,94429743,1,4
45226,16.75,81392318,1,4
45065,17.18,3567088323,45,4
45198,14,64868181,1,4
45254,14,60932662,1,5
45142,17.17,291449918,3,3
44960,18.32,3060743994,46,3
45163,15.65,1528762473,16,3
44988,19.31,180360375.8,8,1
45037,18.11,1872005544,16,4
45016,25.41,2891618523,12,5
45254,16.75,89414975,1,4
45198,12.9,85301656,1,4
45205,10.15,116129891,1,5
44974,19.94,3136653158,21,3
45114,16.92,2623976914,11,4
45198,5,100263018,1,5
45261,17.6,153922125,1,4
45177,17.66,8119841517,38,4
45254,16.4,62890747.29,1,4
45261,15.12,53957607,1,5
45198,18.05,49945412,1,3
45261,14,29078653,1,4
45254,16.45,80523181,2,4
45163,22.55,1579802206,11,5
45233,14.89,126824198,2,4
45198,17.58,1042795642,5,3
45226,18.18,433712265,7,4
44988,19.04,997986755,3,4
45240,8.7,66572111,1,5
45247,14.95,949212285,18,3
45058,18.58,3584855724,23,5
45219,14,42437049,1,5
45261,18.3,201088415,1,5
45261,18.58,157346218,1,4
45282,14.4,939036527,13,5
45254,18.45,150911495,1,4
45037,16.69,3695140392,42,4
45191,17.61,349021687,2,4
45212,18.95,233418769,1,4
45198,15.39,211699651,5,3
45261,15.23,129586608,2,4
45240,17.55,140497970.3,1,3
45261,14,13131194,1,4
45212,14,169629424,2,4
45233,16.84,130300768,3,4
45261,14.21,256970633,3,5
45261,17.35,234337379,1,3
45219,12.22,81494474,1,4
44981,21.27,61953425,2,3
45212,15.56,250095816,5,5
45219,15.95,229698579,1,3
45282,14,51372168,1,4
45037,18.49,227484638,9,3
45058,20.22,1638582685,18,5
45226,17.74,8300000,1,4
45261,14,108287848,1,4
45233,17.6,208019679,1,4
45100,22.26,5955274023,82,5
45226,16.31,210887615,4,4
45254,14,739492775,11,4
45261,14,175274801,3,5
45212,14,55575343,1,5
45065,17.64,644514434,20,4
45233,18.45,162247965,1,4
45191,18.76,9573175628,68,3
45240,15.32,702617013,10,5
