Fecha,Tasa_efectiva_promedio_ponderada,Montos_desembolsados,Numero_de_creditos_desembolsados,Plazo,Valor_promedio_credito
45247,15.12,83953304,1,4,83953304
45212,8.8,36489064,1,5,36489064
45177,15.02,587105406,15,3,39140360.4
45128,14.29,750192615,14,3,53585186.79
45135,13.81,554983119,6,4,92497186.5
45254,18.5,93836045,1,4,93836045
45219,18.05,57800808,1,1,57800808
45233,9.44,227468299,3,5,75822766.33
45219,17.05,43963035,1,4,43963035
45240,14,75266059,1,5,75266059
45247,13.87,243565279,6,4,40594213.17
45226,16.49,46959562,1,5,46959562
45212,18.09,284256599,1,3,284256599
45240,17.19,228000008,1,4,228000008
45219,9,138429059,3,5,46143019.67
45212,14,56782727,1,5,56782727
45170,17.19,11100336563,43,4,258147361.9
45205,5,61084743,1,5,61084743
45198,19,123662865,1,4,123662865
45016,18.79,1814678724,23,3,78899074.96
45100,17.64,118586531,7,1,16940933
45198,14,726586423,12,4,60548868.58
45254,18.63,115551915,2,5,57775957.5
45177,22.86,1295998011,6,4,215999668.5
45205,17.94,79362544,2,4,39681272
44995,19.11,429406521,9,4,47711835.67
45072,17.76,10915578464,52,4,209914970.5
45261,17.88,26858739,1,4,26858739
45170,17.12,2157952365,7,3,308278909.3
45212,14,94615525,2,3,47307762.5
45254,18.05,9000000,1,1,9000000
45219,18.58,96871414,1,5,96871414
45261,16.15,90224892,1,4,90224892
45044,14.87,10691527402,124,4,86221995.18
45254,17.32,29638137,1,5,29638137
45163,19.09,459643531,3,4,153214510.3
45261,14,94429743,1,4,94429743
45226,16.75,81392318,1,4,81392318
45065,17.18,3567088323,45,4,79268629.39
45198,14,64868181,1,4,64868181
45254,14,60932662,1,5,60932662
45142,17.17,291449918,3,3,97149972.67
44960,18.32,3060743994,46,3,66537912.92
45163,15.65,1528762473,16,3,95547654.56
44988,19.31,180360375.8,8,1,22545046.98
45037,18.11,1872005544,16,4,117000346.5
45016,25.41,2891618523,12,5,240968210.3
45254,16.75,89414975,1,4,89414975
45198,12.9,85301656,1,4,85301656
45205,10.15,116129891,1,5,116129891
44974,19.94,3136653158,21,3,149364436.1
45114,16.92,2623976914,11,4,238543355.8
45198,5,100263018,1,5,100263018
45261,17.6,153922125,1,4,153922125
45177,17.66,8119841517,38,4,213680039.9
45254,16.4,62890747.29,1,4,62890747.29
45261,15.12,53957607,1,5,53957607
45198,18.05,49945412,1,3,49945412
45261,14,29078653,1,4,29078653
45254,16.45,80523181,2,4,40261590.5
45163,22.55,1579802206,11,5,143618382.4
45233,14.89,126824198,2,4,63412099
45198,17.58,1042795642,5,3,208559128.4
45226,18.18,433712265,7,4,61958895
44988,19.04,997986755,3,4,332662251.7
45240,8.7,66572111,1,5,66572111
45247,14.95,949212285,18,3,52734015.83
45058,18.58,3584855724,23,5,155863292.3
45219,14,42437049,1,5,42437049
45261,18.3,201088415,1,5,201088415
45261,18.58,157346218,1,4,157346218
45282,14.4,939036527,13,5,72233579
45254,18.45,150911495,1,4,150911495
45037,16.69,3695140392,42,4,87979533.14
45191,17.61,349021687,2,4,174510843.5
45212,18.95,233418769,1,4,233418769
45198,15.39,211699651,5,3,42339930.2
45261,15.23,129586608,2,4,64793304
45240,17.55,140497970.3,1,3,140497970.3
45261,14,13131194,1,4,13131194
45212,14,169629424,2,4,84814712
45233,16.84,130300768,3,4,43433589.33
45261,14.21,256970633,3,5,85656877.67
45261,17.35,234337379,1,3,234337379
45219,12.22,81494474,1,4,81494474
44981,21.27,61953425,2,3,30976712.5
45212,15.56,250095816,5,5,50019163.2
45219,15.95,229698579,1,3,229698579
45282,14,51372168,1,4,51372168
45037,18.49,227484638,9,3,25276070.89
45058,20.22,1638582685,18,5,91032371.39
